acacia_button,アカシアのボタン
banner_bricks_brown,茶色のレンガ模様
banner_bricks_cyan,青緑色のレンガ模様
banner_bricks_gray,灰色のレンガ模様
banner_bricks_green,緑色のレンガ模様
banner_bricks_light_blue,空色のレンガ模様
banner_bricks_light_gray,薄灰色のレンガ模様
banner_bricks_lime,黄緑色のレンガ模様
banner_bricks_magenta,赤紫色のレンガ模様
banner_bricks_orange,橙色のレンガ模様
banner_bricks_pink,桃色のレンガ模様
banner_bricks_purple,紫色のレンガ模様
banner_bricks_red,赤色のレンガ模様
banner_bricks_white,白色のレンガ模様
banner_bricks_yellow,黄色のレンガ模様
banner_circle_black,黒色の円形
banner_circle_blue,青色の円形
banner_circle_brown,茶色の円形
banner_circle_cyan,青緑色の円形
banner_circle_gray,灰色の円形
banner_circle_green,緑色の円形
banner_circle_light_blue,空色の円形
banner_circle_light_gray,薄灰色の円形
banner_circle_lime,黄緑色の円形
banner_circle_magenta,赤紫色の円形
banner_circle_orange,橙色の円形
banner_circle_pink,桃色の円形
banner_circle_purple,紫色の円形
banner_circle_red,赤色の円形
banner_circle_white,白色の円形
banner_circle_yellow,黄色の円形
banner_creeper_black,黒色のクリーパー模様
banner_creeper_blue,青色のクリーパー模様
banner_creeper_brown,茶色のクリーパー模様
banner_creeper_cyan,青緑色のクリーパー模様
banner_creeper_gray,灰色のクリーパー模様
banner_creeper_green,緑色のクリーパー模様
banner_creeper_light_blue,空色のクリーパー模様
banner_creeper_light_gray,薄灰色のクリーパー模様
banner_creeper_lime,黄緑色のクリーパー模様
banner_creeper_magenta,赤紫色のクリーパー模様
banner_creeper_orange,橙色のクリーパー模様
banner_creeper_pink,桃色のクリーパー模様
banner_creeper_purple,紫色のクリーパー模様
banner_creeper_red,赤色のクリーパー模様
banner_creeper_white,白色のクリーパー模様
banner_creeper_yellow,黄色のクリーパー模様
banner_cross_black,黒色の斜め十字
banner_cross_blue,青色の斜め十字
banner_cross_brown,茶色の斜め十字
banner_cross_cyan,青緑色の斜め十字
banner_cross_gray,灰色の斜め十字
banner_cross_green,緑色の斜め十字
banner_cross_light_blue,空色の斜め十字
banner_cross_light_gray,薄灰色の斜め十字
banner_cross_lime,黄緑色の斜め十字
banner_cross_magenta,赤紫色の斜め十字
banner_cross_orange,橙色の斜め十字
banner_cross_pink,桃色の斜め十字
banner_cross_purple,紫色の斜め十字
banner_cross_red,赤色の斜め十字
banner_cross_white,白色の斜め十字
banner_cross_yellow,黄色の斜め十字
banner_curly_border_black,黒色の山形波の縁取り
banner_curly_border_blue,青色の山形波の縁取り
banner_curly_border_brown,茶色の山形波の縁取り
banner_curly_border_cyan,青緑色の山形波の縁取り
banner_curly_border_gray,灰色の山形波の縁取り
banner_curly_border_green,緑色の山形波の縁取り
banner_curly_border_light_blue,空色の山形波の縁取り
banner_curly_border_light_gray,薄灰色の山形波の縁取り
banner_curly_border_lime,黄緑色の山形波の縁取り
banner_curly_border_magenta,赤紫色の山形波の縁取り
banner_curly_border_orange,橙色の山形波の縁取り
banner_curly_border_pink,桃色の山形波の縁取り
banner_curly_border_purple,紫色の山形波の縁取り
banner_curly_border_red,赤色の山形波の縁取り
banner_curly_border_white,白色の山形波の縁取り
banner_curly_border_yellow,黄色の山形波の縁取り
banner_diagonal_left_black,左上半に黒色の斜め分割
banner_diagonal_left_blue,左上半に青色の斜め分割
banner_diagonal_left_brown,左上半に茶色の斜め分割
banner_diagonal_left_cyan,左上半に青緑色の斜め分割
banner_diagonal_left_gray,左上半に灰色の斜め分割
banner_diagonal_left_green,左上半に緑色の斜め分割
banner_diagonal_left_light_blue,左上半に空色の斜め分割
banner_diagonal_left_light_gray,左上半に薄灰色の斜め分割
banner_diagonal_left_lime,左上半に黄緑色の斜め分割
banner_diagonal_left_magenta,左上半に赤紫色の斜め分割
banner_diagonal_left_orange,左上半に橙色の斜め分割
banner_diagonal_left_pink,左上半に桃色の斜め分割
banner_diagonal_left_purple,左上半に紫色の斜め分割
banner_diagonal_left_red,左上半に赤色の斜め分割
banner_diagonal_left_white,左上半に白色の斜め分割
banner_diagonal_left_yellow,左上半に黄色の斜め分割
banner_diagonal_right_black,右上半に黒色の斜め分割
banner_diagonal_right_blue,右上半に青色の斜め分割
banner_diagonal_right_brown,右上半に茶色の斜め分割
banner_diagonal_right_cyan,右上半に青緑色の斜め分割
banner_diagonal_right_gray,右上半に灰色の斜め分割
banner_diagonal_right_green,右上半に緑色の斜め分割
banner_diagonal_right_light_blue,右上半に空色の斜め分割
banner_diagonal_right_light_gray,右上半に薄灰色の斜め分割
banner_diagonal_right_lime,右上半に黄緑色の斜め分割
banner_diagonal_right_magenta,右上半に赤紫色の斜め分割
banner_diagonal_right_orange,右上半に橙色の斜め分割
banner_diagonal_right_pink,右上半に桃色の斜め分割
banner_diagonal_right_purple,右上半に紫色の斜め分割
banner_diagonal_right_red,右上半に赤色の斜め分割
banner_diagonal_right_white,右上半に白色の斜め分割
banner_diagonal_right_yellow,右上半に黄色の斜め分割
banner_diagonal_up_left_black,左下半に黒色の斜め分割
banner_diagonal_up_left_blue,左下半に青色の斜め分割
banner_diagonal_up_left_brown,左下半に茶色の斜め分割
banner_diagonal_up_left_cyan,左下半に青緑色の斜め分割
banner_diagonal_up_left_gray,左下半に灰色の斜め分割
banner_diagonal_up_left_green,左下半に緑色の斜め分割
banner_diagonal_up_left_light_blue,左下半に空色の斜め分割
banner_diagonal_up_left_light_gray,左下半に薄灰色の斜め分割
banner_diagonal_up_left_lime,左下半に黄緑色の斜め分割
banner_diagonal_up_left_magenta,左下半に赤紫色の斜め分割
banner_diagonal_up_left_orange,左下半に橙色の斜め分割
banner_diagonal_up_left_pink,左下半に桃色の斜め分割
banner_diagonal_up_left_purple,左下半に紫色の斜め分割
banner_diagonal_up_left_red,左下半に赤色の斜め分割
banner_diagonal_up_left_white,左下半に白色の斜め分割
banner_diagonal_up_left_yellow,左下半に黄色の斜め分割
banner_diagonal_up_right_black,右下半に黒色の斜め分割
banner_diagonal_up_right_blue,右下半に青色の斜め分割
banner_diagonal_up_right_brown,右下半に茶色の斜め分割
banner_diagonal_up_right_cyan,右下半に青緑色の斜め分割
banner_diagonal_up_right_gray,右下半に灰色の斜め分割
banner_diagonal_up_right_green,右下半に緑色の斜め分割
banner_diagonal_up_right_light_blue,右下半に空色の斜め分割
banner_diagonal_up_right_light_gray,右下半に薄灰色の斜め分割
banner_diagonal_up_right_lime,右下半に黄緑色の斜め分割
banner_diagonal_up_right_magenta,右下半に赤紫色の斜め分割
banner_diagonal_up_right_orange,右下半に橙色の斜め分割
banner_diagonal_up_right_pink,右下半に桃色の斜め分割
banner_diagonal_up_right_purple,右下半に紫色の斜め分割
banner_diagonal_up_right_red,右下半に赤色の斜め分割
banner_diagonal_up_right_white,右下半に白色の斜め分割
banner_diagonal_up_right_yellow,右下半に黄色の斜め分割
banner_flower_black,黒色の花模様
banner_flower_blue,青色の花模様
banner_flower_brown,茶色の花模様
banner_flower_cyan,青緑色の花模様
banner_flower_gray,灰色の花模様
banner_flower_green,緑色の花模様
banner_flower_light_blue,空色の花模様
banner_flower_light_gray,薄灰色の花模様
banner_flower_lime,黄緑色の花模様
banner_flower_magenta,赤紫色の花模様
banner_flower_orange,橙色の花模様
banner_flower_pink,桃色の花模様
banner_flower_purple,紫色の花模様
banner_flower_red,赤色の花模様
banner_flower_white,白色の花模様
banner_flower_yellow,黄色の花模様
banner_globe_black,黒色の地球の模様
banner_globe_blue,青色の地球の模様
banner_globe_brown,茶色の地球の模様
banner_globe_cyan,水色の地球の模様
banner_globe_gray,灰色の地球の模様
banner_globe_green,緑色の地球の模様
banner_globe_light_blue,空色の地球の模様
banner_globe_light_gray,薄灰色の地球の模様
banner_globe_lime,黄緑色の地球の模様
banner_globe_magenta,赤紫色の地球の模様
banner_globe_orange,橙色の地球の模様
banner_globe_pink,桃色の地球の模様
banner_globe_purple,紫色の地球の模様
banner_globe_red,赤色の地球の模様
banner_globe_white,白色の地球の模様
banner_globe_yellow,黄色の地球の模様
banner_gradient_black,上に黒色のグラデーション
banner_gradient_blue,上に青色のグラデーション
banner_gradient_brown,上に茶色のグラデーション
banner_gradient_cyan,上に青緑色のグラデーション
banner_gradient_gray,上に灰色のグラデーション
banner_gradient_green,上に緑色のグラデーション
banner_gradient_light_blue,上に空色のグラデーション
banner_gradient_light_gray,上に薄灰色のグラデーション
banner_gradient_lime,上に黄緑色のグラデーション
banner_gradient_magenta,上に赤紫色のグラデーション
banner_gradient_orange,上に橙色のグラデーション
banner_gradient_pink,上に桃色のグラデーション
banner_gradient_purple,上に紫色のグラデーション
banner_gradient_red,上に赤色のグラデーション
banner_gradient_white,上に白色のグラデーション
banner_gradient_yellow,上に黄色のグラデーション
banner_gradient_up_black,下に黒色のグラデーション
banner_gradient_up_blue,下に青色のグラデーション
banner_gradient_up_brown,下に茶色のグラデーション
banner_gradient_up_cyan,下に青緑色のグラデーション
banner_gradient_up_gray,下に灰色のグラデーション
banner_gradient_up_green,下に緑色のグラデーション
banner_gradient_up_light_blue,下に空色のグラデーション
banner_gradient_up_light_gray,下に薄灰色のグラデーション
banner_gradient_up_lime,下に黄緑色のグラデーション
banner_gradient_up_magenta,下に赤紫色のグラデーション
banner_gradient_up_orange,下に橙色のグラデーション
banner_gradient_up_pink,下に桃色のグラデーション
banner_gradient_up_purple,下に紫色のグラデーション
banner_gradient_up_red,下に赤色のグラデーション
banner_gradient_up_white,下に白色のグラデーション
banner_gradient_up_yellow,下に黄色のグラデーション
banner_half_horizontal_black,上半に黒色の横分割
banner_half_horizontal_blue,上半に青色の横分割
banner_half_horizontal_brown,上半に茶色の横分割
banner_half_horizontal_cyan,上半に青緑色の横分割
banner_half_horizontal_gray,上半に灰色の横分割
banner_half_horizontal_green,上半に緑色の横分割
banner_half_horizontal_light_blue,上半に空色の横分割
banner_half_horizontal_light_gray,上半に薄灰色の横分割
banner_half_horizontal_lime,上半に黄緑色の横分割
banner_half_horizontal_magenta,上半に赤紫色の横分割
banner_half_horizontal_orange,上半に橙色の横分割
banner_half_horizontal_pink,上半に桃色の横分割
banner_half_horizontal_purple,上半に紫色の横分割
banner_half_horizontal_red,上半に赤色の横分割
banner_half_horizontal_white,上半に白色の横分割
banner_half_horizontal_yellow,上半に黄色の横分割
banner_half_horizontal_bottom_black,下半に黒色の横分割
banner_half_horizontal_bottom_blue,下半に青色の横分割
banner_half_horizontal_bottom_brown,下半に茶色の横分割
banner_half_horizontal_bottom_cyan,下半に青緑色の横分割
banner_half_horizontal_bottom_gray,下半に灰色の横分割
banner_half_horizontal_bottom_green,下半に緑色の横分割
banner_half_horizontal_bottom_light_blue,下半に空色の横分割
banner_half_horizontal_bottom_light_gray,下半に薄灰色の横分割
banner_half_horizontal_bottom_lime,下半に黄緑色の横分割
banner_half_horizontal_bottom_magenta,下半に赤紫色の横分割
banner_half_horizontal_bottom_orange,下半に橙色の横分割
banner_half_horizontal_bottom_pink,下半に桃色の横分割
banner_half_horizontal_bottom_purple,下半に紫色の横分割
banner_half_horizontal_bottom_red,下半に赤色の横分割
banner_half_horizontal_bottom_white,下半に白色の横分割
banner_half_horizontal_bottom_yellow,下半に黄色の横分割
banner_half_vertical_black,左半に黒色の縦分割
banner_half_vertical_blue,左半に青色の縦分割
banner_half_vertical_brown,左半に茶色の縦分割
banner_half_vertical_cyan,左半に青緑色の縦分割
banner_half_vertical_gray,左半に灰色の縦分割
banner_half_vertical_green,左半に緑色の縦分割
banner_half_vertical_light_blue,左半に空色の縦分割
banner_half_vertical_light_gray,左半に薄灰色の縦分割
banner_half_vertical_lime,左半に黄緑色の縦分割
banner_half_vertical_magenta,左半に赤紫色の縦分割
banner_half_vertical_orange,左半に橙色の縦分割
banner_half_vertical_pink,左半に桃色の縦分割
banner_half_vertical_purple,左半に紫色の縦分割
banner_half_vertical_red,左半に赤色の縦分割
banner_half_vertical_white,左半に白色の縦分割
banner_half_vertical_yellow,左半に黄色の縦分割
banner_half_vertical_right_black,右半に黒色の縦分割
banner_half_vertical_right_blue,右半に青色の縦分割
banner_half_vertical_right_brown,右半に茶色の縦分割
banner_half_vertical_right_cyan,右半に青緑色の縦分割
banner_half_vertical_right_gray,右半に灰色の縦分割
banner_half_vertical_right_green,右半に緑色の縦分割
banner_half_vertical_right_light_blue,右半に空色の縦分割
banner_half_vertical_right_light_gray,右半に薄灰色の縦分割
banner_half_vertical_right_lime,右半に黄緑色の縦分割
banner_half_vertical_right_magenta,右半に赤紫色の縦分割
banner_half_vertical_right_orange,右半に橙色の縦分割
banner_half_vertical_right_pink,右半に桃色の縦分割
banner_half_vertical_right_purple,右半に紫色の縦分割
banner_half_vertical_right_red,右半に赤色の縦分割
banner_half_vertical_right_white,右半に白色の縦分割
banner_half_vertical_right_yellow,右半に黄色の縦分割
banner_mojang_black,黒色の何かの模様
banner_mojang_blue,青色の何かの模様
banner_mojang_brown,茶色の何かの模様
banner_mojang_cyan,青緑色の何かの模様
banner_mojang_gray,灰色の何かの模様
banner_mojang_green,緑色の何かの模様
banner_mojang_light_blue,空色の何かの模様
banner_mojang_light_gray,薄灰色の何かの模様
banner_mojang_lime,黄緑色の何かの模様
banner_mojang_magenta,赤紫色の何かの模様
banner_mojang_orange,橙色の何かの模様
banner_mojang_pink,桃色の何かの模様
banner_mojang_purple,紫色の何かの模様
banner_mojang_red,赤色の何かの模様
banner_mojang_white,白色の何かの模様
banner_mojang_yellow,黄色の何かの模様
banner_piglin_black,黒色のブタの鼻の模様
banner_piglin_blue,青色のブタの鼻の模様
banner_piglin_brown,茶色のブタの鼻の模様
banner_piglin_cyan,青緑色のブタの鼻の模様
banner_piglin_gray,灰色のブタの鼻の模様
banner_piglin_green,緑色のブタの鼻の模様
banner_piglin_light_blue,空色のブタの鼻の模様
banner_piglin_light_gray,薄灰色のブタの鼻の模様
banner_piglin_lime,黄緑色のブタの鼻の模様
banner_piglin_magenta,赤紫色のブタの鼻の模様
banner_piglin_orange,橙色のブタの鼻の模様
banner_piglin_pink,桃色のブタの鼻の模様
banner_piglin_purple,紫色のブタの鼻の模様
banner_piglin_red,赤色のブタの鼻の模様
banner_piglin_white,白色のブタの鼻の模様
banner_piglin_yellow,黄色のブタの鼻の模様
banner_rhombus_black,黒色の菱形
banner_rhombus_blue,青色の菱形
banner_rhombus_brown,茶色の菱形
banner_rhombus_cyan,青緑色の菱形
banner_rhombus_gray,灰色の菱形
banner_rhombus_green,緑色の菱形
banner_rhombus_light_blue,空色の菱形
banner_rhombus_light_gray,薄灰色の菱形
banner_rhombus_lime,黄緑色の菱形
banner_rhombus_magenta,赤紫色の菱形
banner_rhombus_orange,橙色の菱形
banner_rhombus_pink,桃色の菱形
banner_rhombus_purple,紫色の菱形
banner_rhombus_red,赤色の菱形
banner_rhombus_white,白色の菱形
banner_rhombus_yellow,黄色の菱形
banner_skull_black,黒色の骸骨模様
banner_skull_blue,青色の骸骨模様
banner_skull_brown,茶色の骸骨模様
banner_skull_cyan,青緑色の骸骨模様
banner_skull_gray,灰色の骸骨模様
banner_skull_green,緑色の骸骨模様
banner_skull_light_blue,空色の骸骨模様
banner_skull_light_gray,薄灰色の骸骨模様
banner_skull_lime,黄緑色の骸骨模様
banner_skull_magenta,赤紫色の骸骨模様
banner_skull_orange,橙色の骸骨模様
banner_skull_pink,桃色の骸骨模様
banner_skull_purple,紫色の骸骨模様
banner_skull_red,赤色の骸骨模様
banner_skull_white,白色の骸骨模様
banner_skull_yellow,黄色の骸骨模様
banner_small_stripes_black,黒色の縦縞
banner_small_stripes_blue,青色の縦縞
banner_small_stripes_brown,茶色の縦縞
banner_small_stripes_cyan,青緑色の縦縞
banner_small_stripes_gray,灰色の縦縞
banner_small_stripes_green,緑色の縦縞
banner_small_stripes_light_blue,空色の縦縞
banner_small_stripes_light_gray,薄灰色の縦縞
banner_small_stripes_lime,黄緑色の縦縞
banner_small_stripes_magenta,赤紫色の縦縞
banner_small_stripes_orange,橙色の縦縞
banner_small_stripes_pink,桃色の縦縞
banner_small_stripes_purple,紫色の縦縞
banner_small_stripes_red,赤色の縦縞
banner_small_stripes_white,白色の縦縞
banner_small_stripes_yellow,黄色の縦縞
banner_square_bottom_left_black,左下隅に黒色の方形
banner_square_bottom_left_blue,左下隅に青色の方形
banner_square_bottom_left_brown,左下隅に茶色の方形
banner_square_bottom_left_cyan,左下隅に青緑色の方形
banner_square_bottom_left_gray,左下隅に灰色の方形
banner_square_bottom_left_green,左下隅に緑色の方形
banner_square_bottom_left_light_blue,左下隅に空色の方形
banner_square_bottom_left_light_gray,左下隅に薄灰色の方形
banner_square_bottom_left_lime,左下隅に黄緑色の方形
banner_square_bottom_left_magenta,左下隅に赤紫色の方形
banner_square_bottom_left_orange,左下隅に橙色の方形
banner_square_bottom_left_pink,左下隅に桃色の方形
banner_square_bottom_left_purple,左下隅に紫色の方形
banner_square_bottom_left_red,左下隅に赤色の方形
banner_square_bottom_left_white,左下隅に白色の方形
banner_square_bottom_left_yellow,左下隅に黄色の方形
banner_square_bottom_right_black,右下隅に黒色の方形
banner_square_bottom_right_blue,右下隅に青色の方形
banner_square_bottom_right_brown,右下隅に茶色の方形
banner_square_bottom_right_cyan,右下隅に青緑色の方形
banner_square_bottom_right_gray,右下隅に灰色の方形
banner_square_bottom_right_green,右下隅に緑色の方形
banner_square_bottom_right_light_blue,右下隅に空色の方形
banner_square_bottom_right_light_gray,右下隅に薄灰色の方形
banner_square_bottom_right_lime,右下隅に黄緑色の方形
banner_square_bottom_right_magenta,右下隅に赤紫色の方形
banner_square_bottom_right_orange,右下隅に橙色の方形
banner_square_bottom_right_pink,右下隅に桃色の方形
banner_square_bottom_right_purple,右下隅に紫色の方形
banner_square_bottom_right_red,右下隅に赤色の方形
banner_square_bottom_right_white,右下隅に白色の方形
banner_square_bottom_right_yellow,右下隅に黄色の方形
banner_square_top_left_black,左上隅に黒色の方形
banner_square_top_left_blue,左上隅に青色の方形
banner_square_top_left_brown,左上隅に茶色の方形
banner_square_top_left_cyan,左上隅に青緑色の方形
banner_square_top_left_gray,左上隅に灰色の方形
banner_square_top_left_green,左上隅に緑色の方形
banner_square_top_left_light_blue,左上隅に空色の方形
banner_square_top_left_light_gray,左上隅に薄灰色の方形
banner_square_top_left_lime,左上隅に黄緑色の方形
banner_square_top_left_magenta,左上隅に赤紫色の方形
banner_square_top_left_orange,左上隅に橙色の方形
banner_square_top_left_pink,左上隅に桃色の方形
banner_square_top_left_purple,左上隅に紫色の方形
banner_square_top_left_red,左上隅に赤色の方形
banner_square_top_left_white,左上隅に白色の方形
banner_square_top_left_yellow,左上隅に黄色の方形
banner_square_top_right_black,右上隅に黒色の方形
banner_square_top_right_blue,右上隅に青色の方形
banner_square_top_right_brown,右上隅に茶色の方形
banner_square_top_right_cyan,右上隅に青緑色の方形
banner_square_top_right_gray,右上隅に灰色の方形
banner_square_top_right_green,右上隅に緑色の方形
banner_square_top_right_light_blue,右上隅に空色の方形
banner_square_top_right_light_gray,右上隅に薄灰色の方形
banner_square_top_right_lime,右上隅に黄緑色の方形
banner_square_top_right_magenta,右上隅に赤紫色の方形
banner_square_top_right_orange,右上隅に橙色の方形
banner_square_top_right_pink,右上隅に桃色の方形
banner_square_top_right_purple,右上隅に紫色の方形
banner_square_top_right_red,右上隅に赤色の方形
banner_square_top_right_white,右上隅に白色の方形
banner_square_top_right_yellow,右上隅に黄色の方形
banner_straight_cross_black,黒色の十字
banner_straight_cross_blue,青色の十字
banner_straight_cross_brown,茶色の十字
banner_straight_cross_cyan,青緑色の十字
banner_straight_cross_gray,灰色の十字
banner_straight_cross_green,緑色の十字
banner_straight_cross_light_blue,空色の十字
banner_straight_cross_light_gray,薄灰色の十字
banner_straight_cross_lime,黄緑色の十字
banner_straight_cross_magenta,赤紫色の十字
banner_straight_cross_orange,橙色の十字
banner_straight_cross_pink,桃色の十字
banner_straight_cross_purple,紫色の十字
banner_straight_cross_red,赤色の十字
banner_straight_cross_white,白色の十字
banner_straight_cross_yellow,黄色の十字
banner_stripe_bottom_black,下端に黒色の横帯
banner_stripe_bottom_blue,下端に青色の横帯
banner_stripe_bottom_brown,下端に茶色の横帯
banner_stripe_bottom_cyan,下端に青緑色の横帯
banner_stripe_bottom_gray,下端に灰色の横帯
banner_stripe_bottom_green,下端に緑色の横帯
banner_stripe_bottom_light_blue,下端に空色の横帯
banner_stripe_bottom_light_gray,下端に薄灰色の横帯
banner_stripe_bottom_lime,下端に黄緑色の横帯
banner_stripe_bottom_magenta,下端に赤紫色の横帯
banner_stripe_bottom_orange,下端に橙色の横帯
banner_stripe_bottom_pink,下端に桃色の横帯
banner_stripe_bottom_purple,下端に紫色の横帯
banner_stripe_bottom_red,下端に赤色の横帯
banner_stripe_bottom_white,下端に白色の横帯
banner_stripe_bottom_yellow,下端に黄色の横帯
banner_stripe_center_black,中央に黒色の縦帯
banner_stripe_center_blue,中央に青色の縦帯
banner_stripe_center_brown,中央に茶色の縦帯
banner_stripe_center_cyan,中央に青緑色の縦帯
banner_stripe_center_gray,中央に灰色の縦帯
banner_stripe_center_green,中央に緑色の縦帯
banner_stripe_center_light_blue,中央に空色の縦帯
banner_stripe_center_light_gray,中央に薄灰色の縦帯
banner_stripe_center_lime,中央に黄緑色の縦帯
banner_stripe_center_magenta,中央に赤紫色の縦帯
banner_stripe_center_orange,中央に橙色の縦帯
banner_stripe_center_pink,中央に桃色の縦帯
banner_stripe_center_purple,中央に紫色の縦帯
banner_stripe_center_red,中央に赤色の縦帯
banner_stripe_center_white,中央に白色の縦帯
banner_stripe_center_yellow,中央に黄色の縦帯
banner_stripe_downleft_black,左下向きに黒色の斜め帯
banner_stripe_downleft_blue,左下向きに青色の斜め帯
banner_stripe_downleft_brown,左下向きに茶色の斜め帯
banner_stripe_downleft_cyan,左下向きに青緑色の斜め帯
banner_stripe_downleft_gray,左下向きに灰色の斜め帯
banner_stripe_downleft_green,左下向きに緑色の斜め帯
banner_stripe_downleft_light_blue,左下向きに空色の斜め帯
banner_stripe_downleft_light_gray,左下向きに薄灰色の斜め帯
banner_stripe_downleft_lime,左下向きに黄緑色の斜め帯
banner_stripe_downleft_magenta,左下向きに赤紫色の斜め帯
banner_stripe_downleft_orange,左下向きに橙色の斜め帯
banner_stripe_downleft_pink,左下向きに桃色の斜め帯
banner_stripe_downleft_purple,左下向きに紫色の斜め帯
banner_stripe_downleft_red,左下向きに赤色の斜め帯
banner_stripe_downleft_white,左下向きに白色の斜め帯
banner_stripe_downleft_yellow,左下向きに黄色の斜め帯
banner_stripe_downright_black,右下向きに黒色の斜め帯
banner_stripe_downright_blue,右下向きに青色の斜め帯
banner_stripe_downright_brown,右下向きに茶色の斜め帯
banner_stripe_downright_cyan,右下向きに青緑色の斜め帯
banner_stripe_downright_gray,右下向きに灰色の斜め帯
banner_stripe_downright_green,右下向きに緑色の斜め帯
banner_stripe_downright_light_blue,右下向きに空色の斜め帯
banner_stripe_downright_light_gray,右下向きに薄灰色の斜め帯
banner_stripe_downright_lime,右下向きに黄緑色の斜め帯
banner_stripe_downright_magenta,右下向きに赤紫色の斜め帯
banner_stripe_downright_orange,右下向きに橙色の斜め帯
banner_stripe_downright_pink,右下向きに桃色の斜め帯
banner_stripe_downright_purple,右下向きに紫色の斜め帯
banner_stripe_downright_red,右下向きに赤色の斜め帯
banner_stripe_downright_white,右下向きに白色の斜め帯
banner_stripe_downright_yellow,右下向きに黄色の斜め帯
banner_stripe_left_black,左端に黒色の縦帯
banner_stripe_left_blue,左端に青色の縦帯
banner_stripe_left_brown,左端に茶色の縦帯
banner_stripe_left_cyan,左端に青緑色の縦帯
banner_stripe_left_gray,左端に灰色の縦帯
banner_stripe_left_green,左端に緑色の縦帯
banner_stripe_left_light_blue,左端に空色の縦帯
banner_stripe_left_light_gray,左端に薄灰色の縦帯
banner_stripe_left_lime,左端に黄緑色の縦帯
banner_stripe_left_magenta,左端に赤紫色の縦帯
banner_stripe_left_orange,左端に橙色の縦帯
banner_stripe_left_pink,左端に桃色の縦帯
banner_stripe_left_purple,左端に紫色の縦帯
banner_stripe_left_red,左端に赤色の縦帯
banner_stripe_left_white,左端に白色の縦帯
banner_stripe_left_yellow,左端に黄色の縦帯
banner_stripe_middle_black,中央に黒色の横帯
banner_stripe_middle_blue,中央に青色の横帯
banner_stripe_middle_brown,中央に茶色の横帯
banner_stripe_middle_cyan,中央に青緑色の横帯
banner_stripe_middle_gray,中央に灰色の横帯
banner_stripe_middle_green,中央に緑色の横帯
banner_stripe_middle_light_blue,中央に空色の横帯
banner_stripe_middle_light_gray,中央に薄灰色の横帯
banner_stripe_middle_lime,中央に黄緑色の横帯
banner_stripe_middle_magenta,中央に赤紫色の横帯
banner_stripe_middle_orange,中央に橙色の横帯
banner_stripe_middle_pink,中央に桃色の横帯
banner_stripe_middle_purple,中央に紫色の横帯
banner_stripe_middle_red,中央に赤色の横帯
banner_stripe_middle_white,中央に白色の横帯
banner_stripe_middle_yellow,中央に黄色の横帯
banner_stripe_right_black,右端に黒色の縦帯
banner_stripe_right_blue,右端に青色の縦帯
banner_stripe_right_brown,右端に茶色の縦帯
banner_stripe_right_cyan,右端に青緑色の縦帯
banner_stripe_right_gray,右端に灰色の縦帯
banner_stripe_right_green,右端に緑色の縦帯
banner_stripe_right_light_blue,右端に空色の縦帯
banner_stripe_right_light_gray,右端に薄灰色の縦帯
banner_stripe_right_lime,右端に黄緑色の縦帯
banner_stripe_right_magenta,右端に赤紫色の縦帯
banner_stripe_right_orange,右端に橙色の縦帯
banner_stripe_right_pink,右端に桃色の縦帯
